CELL10MIN,xcoord,ycoord,lake
103,-84.139,46.44657,HU
104,-84.25,46.16666985,HU
105,-84.08333206,46.25000572,HU
106,-83.91666794,46.25000572,HU
107,-83.75,46.25000572,HU
108,-83.58333206,46.25000572,HU
109,-83.41666794,46.25000572,HU
110,-83.25,46.25000572,HU
115,-85.58333206,46.08333588,MI
116,-85.41666794,46.08333588,MI
117,-85.25,46.08333588,MI
118,-85,46.08333588,MI
123,-79.75,42.91667557,ER
124,-79.58333206,42.91667557,ER
124,-88.25,49.00001144,SU
125,-79.41666794,42.91667557,ER
125,-88.08333206,49.00001144,SU
125,-75.80555259,44.47224278,ON
126,-79.25,42.91667557,ER
126,-87.91666794,48.91667557,SU
127,-79.08333206,42.91667557,ER
127,-87.75,48.91667557,SU
128,-78.91666794,42.91667557,ER
128,-87.58333206,48.91667557,SU
129,-87.41666794,48.91667557,SU
202,-84.66666794,46.08333588,HU
205,-84.08333206,46.08333588,HU
206,-83.91666794,46.08333588,HU
207,-83.75,46.08333588,HU
208,-83.58333206,46.08333588,HU
209,-83.41666794,46.08333588,HU
210,-83.25,46.08333588,HU
211,-83.08333206,46.16666985,HU
211,-86.33333206,45.91667557,MI
212,-82.91666794,46.16666985,HU
212,-86.08333206,45.91667557,MI
213,-82.75,46.16666985,HU
213,-85.91666794,45.91667557,MI
214,-82.58333206,46.16666985,HU
214,-85.75,45.91667557,MI
215,-82.36111069,46.19444911,HU
215,-85.58333206,45.91667557,MI
216,-82.25,46.08333588,HU
216,-85.41666794,45.91667557,MI
216,-77.41666794,44.2500248,ON
217,-82.08333206,46.08333588,HU
217,-85.25,45.91667557,MI
217,-77.25,44.2500248,ON
218,-81.91666794,46.08333588,HU
218,-85.08333206,45.91667557,MI
218,-77.08333206,44.2500248,ON
219,-81.75,46.08333588,HU
219,-84.91666794,45.91667557,MI
219,-76.91666794,44.2500248,ON
220,-80.25,42.75001526,ER
220,-81.58333206,46.08333588,HU
220,-84.75,45.91667557,MI
220,-76.75,44.2500248,ON
221,-80.08333206,42.75001526,ER
221,-76.58333206,44.2500248,ON
222,-79.91666794,42.75001526,ER
222,-88.58333206,48.75001526,SU
222,-76.41666794,44.2500248,ON
223,-79.75,42.75001526,ER
223,-88.36110772,48.80556276,SU
223,-76.25,44.2500248,ON
224,-79.58333206,42.75001526,ER
224,-76.02777566,44.30557484,ON
225,-79.41666794,42.75001526,ER
225,-88.08333206,48.75001526,SU
226,-79.25,42.75001526,ER
226,-87.91666794,48.75001526,SU
227,-79.08333206,42.75001526,ER
227,-87.75,48.75001526,SU
228,-78.91666794,42.75001526,ER
228,-87.58333206,48.75001526,SU
229,-87.41666794,48.75001526,SU
